DSEX,Date,Open,High,Low,Close,64248935
DSEX,10/06/2013,3948.44,3959.79,3882.33,3882.33,62927966
DSEX,10/07/2013,3882.33,3889.05,3857.25,3857.25,54643302
DSEX,10/08/2013,3857.25,3866.10,3792.35,3792.35,68399799
DSEX,10/09/2013,3792.35,3846.23,3777.44,3821.56,61060886
DSEX,10/10/2013,3821.56,3854.16,3821.56,3843.55,60640300
DSEX,10/20/2013,3843.55,3843.55,3770.89,3771.68,31313772
DSEX,10/21/2013,3771.68,3782.87,3689.46,3763.88,45677895
DSEX,10/22/2013,3763.88,3829.47,3763.88,3814.66,48075540
DSEX,10/23/2013,3814.66,3896.22,3814.66,3883.86,82130010
DSEX,10/24/2013,3883.86,3883.86,3799.27,3799.27,67708689
DSEX,10/27/2013,3799.27,3923.09,3799.27,3909.14,79806520
DSEX,10/28/2013,3909.14,4012.55,3909.14,3951.50,116266186
DSEX,10/29/2013,3951.50,4004.65,3908.91,3989.14,118051712
DSEX,10/30/2013,3989.14,4021.79,3938.46,3946.01,118101429
DSEX,10/31/2013,3946.01,4006.08,3939.67,3967.72,99642029
DSEX,11/03/2013,3967.72,4012.21,3954.20,3993.33,79339074
DSEX,11/04/2013,3993.33,4093.70,3993.33,4085.20,110136978
DSEX,11/05/2013,4085.20,4148.39,4085.20,4090.12,120161692
DSEX,11/06/2013,4090.12,4135.32,4090.12,4111.96,127153576
DSEX,11/07/2013,4111.96,4212.75,4111.96,4200.80,151000272
DSEX,11/10/2013,4200.80,4256.55,4179.53,4244.70,182806309
DSEX,11/11/2013,4244.70,4306.87,4196.61,4198.50,191031982
DSEX,11/12/2013,4198.50,4245.63,4183.01,4197.71,132077044
DSEX,11/13/2013,4197.71,4244.88,4197.71,4212.72,142631397
DSEX,11/14/2013,4212.72,4278.38,4212.72,4241.54,155694110
DSEX,11/17/2013,4241.54,4271.40,4233.64,4256.42,155082983
DSEX,11/18/2013,4256.42,4293.28,4256.42,4279.42,156273538
DSEX,11/19/2013,4279.42,4391.85,4279.42,4381.37,199002743
DSEX,11/20/2013,4381.37,4456.47,4381.37,4439.59,237426640
DSEX,11/21/2013,4439.59,4440.34,4382.39,4395.93,191292439
DSEX,11/24/2013,4395.93,4418.38,4324.70,4324.70,165089083
DSEX,11/25/2013,4324.70,4404.07,4324.70,4354.88,189363817
DSEX,11/26/2013,4354.88,4373.68,4277.54,4277.54,184284397
DSEX,11/27/2013,4277.54,4315.19,4262.63,4268.65,132072569
DSEX,11/28/2013,4268.65,4282.31,4210.35,4230.72,92487750
DSEX,12/01/2013,4230.72,4230.72,4147.20,4147.20,87435074
DSEX,12/02/2013,4147.20,4224.60,4147.20,4197.92,81472441
DSEX,12/03/2013,4197.92,4320.32,4197.92,4310.72,117469101
